"","id","sex","age","NAME","rt_sec","Item","meaning","salience","lg_rt","oldage","yrs65","c_mean","c_sal"
"61",2,1,19,"rt_sec12",1.755,12,5,4,0.562468856917829,0,0,2,1
"62",2,1,19,"rt_sec14",2.462,14,0,3,0.900974027762262,0,0,-3,0
"63",2,1,19,"rt_sec15",2.117,15,5,2.5,0.749999992152728,0,0,2,-0.5
"64",2,1,19,"rt_sec16",2.8,16,3.5,3,1.02961941718116,0,0,0.5,0
"65",2,1,19,"rt_sec17",1.403,17,5,2,0.338612801120324,0,0,2,-1
"66",2,1,19,"rt_sec20",1.755,20,5,4,0.562468856917829,0,0,2,1
"67",2,1,19,"rt_sec21",5.988,21,0,2.5,1.78975746655738,0,0,-3,-0.5
"68",2,1,19,"rt_sec22",3.526,22,5,4,1.26016408397568,0,0,2,1
"69",2,1,19,"rt_sec24",4.578,24,0,4,1.52126222153038,0,0,-3,1
"70",2,1,19,"rt_sec25",1.756,25,2,2,0.563038495212925,0,0,-1,-1
"71",2,1,19,"rt_sec26",7.4,26,0,1.5,2.00148000021012,0,0,-3,-1.5
"72",2,1,19,"rt_sec27",3.406,27,2,2,1.2255385822405,0,0,-1,-1
"73",2,1,19,"rt_sec28",1.755,28,0.5,1,0.562468856917829,0,0,-2.5,-2
"74",2,1,19,"rt_sec29",17.875,29,4,3,2.88340308858007,0,0,1,0
"75",2,1,19,"rt_sec31",1.754,31,2,4,0.561898893949991,0,0,-1,1
"76",2,1,19,"rt_sec32",4.223,32,2,1.5,1.44054577595181,0,0,-1,-1.5
"77",2,1,19,"rt_sec33",4.224,33,3,2,1.44078254640396,0,0,0,-1
"78",2,1,19,"rt_sec35",1.762,35,1,4,0.566449527513988,0,0,-2,1
"79",2,1,19,"rt_sec36",4.232,36,4,3,1.442674694556,0,0,1,0
"80",2,1,19,"rt_sec38",2.117,38,1,3,0.749999992152728,0,0,-2,0
"81",2,1,19,"rt_sec39",8.467,39,4,3.5,2.13617625466014,0,0,1,0.5
"82",2,1,19,"rt_sec41",5.216,41,0,2,1.65173082462435,0,0,-3,-1
"83",2,1,19,"rt_sec42",3.871,42,4.5,5,1.35351287159551,0,0,1.5,2
"84",2,1,19,"rt_sec43",18.345,43,5,4.5,2.90935705780725,0,0,2,1.5
"85",2,1,19,"rt_sec44",15.875,44,2,2,2.76474554477876,0,0,-1,-1
"86",2,1,19,"rt_sec46",2.107,46,4,2,0.745265134822052,0,0,1,-1
"87",2,1,19,"rt_sec47",4.167,47,3,2,1.42719635244032,0,0,0,-1
"88",2,1,19,"rt_sec51",1.765,51,0,2.5,0.56815069038526,0,0,-3,-0.5
"89",2,1,19,"rt_sec52",11.278,52,0,2,2.42285392538499,0,0,-3,-1
"90",2,1,19,"rt_sec58",5.283,58,3.5,2,1.66449411818218,0,0,0.5,-1
"91",2,1,19,"rt_sec61",2.46,61,5,4,0.900161349944271,0,0,2,1
"92",2,1,19,"rt_sec63",3.164,63,4,4,1.15183704990541,0,0,1,1
"93",2,1,19,"rt_sec64",4.939,64,0,3.5,1.59716288155849,0,0,-3,0.5
"94",2,1,19,"rt_sec66",2.46,66,4,2,0.900161349944271,0,0,1,-1
"95",2,1,19,"rt_sec67",2.107,67,4,3.5,0.745265134822052,0,0,1,0.5
"96",2,1,19,"rt_sec68",5.283,68,3.5,4,1.66449411818218,0,0,0.5,1
"97",2,1,19,"rt_sec71",8.106,71,5,5,2.09260452820612,0,0,2,2
"98",2,1,19,"rt_sec73",1.764,73,2,3,0.5675839575846,0,0,-1,0
"99",2,1,19,"rt_sec74",16.082,74,0,3,2.77770063412596,0,0,-3,0
"100",2,1,19,"rt_sec78",13.969,78,4,2,2.63684058874541,0,0,1,-1
"101",2,1,19,"rt_sec79",4.578,79,3.5,3,1.52126222153038,0,0,0.5,0
"102",2,1,19,"rt_sec80",3.166,80,0,1,1.15246896145882,0,0,-3,-2
"103",3,1,20,"rt_sec1",2.034,1,3.5,4,0.710004297626368,0,0,0.5,1
"104",3,1,20,"rt_sec2",17.276,2,0,3,2.84931825509845,0,0,-3,0
"105",3,1,20,"rt_sec3",31.738,3,4,2,3.45751470114065,0,0,1,-1
"106",3,1,20,"rt_sec4",2.109,4,4,4,0.746213901496638,0,0,1,1
"107",3,1,20,"rt_sec5",2.765,5,0,5,1.0170406349743,0,0,-3,2
"108",3,1,20,"rt_sec7",2.108,7,3.5,4.5,0.745739630679116,0,0,0.5,1.5
"109",3,1,20,"rt_sec8",7.741,8,5,1.5,2.04653087822258,0,0,2,-1.5
"110",3,1,20,"rt_sec9",19.755,9,0,5,2.98340662386335,0,0,-3,2
"111",3,1,20,"rt_sec10",3.87,10,4,3.5,1.35325450704169,0,0,1,0.5
"112",3,1,20,"rt_sec12",17.951,12,5,4,2.88764582368893,0,0,2,1
"113",3,1,20,"rt_sec14",3.454,14,0,3,1.23953297972449,0,0,-3,0
"114",3,1,20,"rt_sec15",2.813,15,5,2.5,1.03425152950772,0,0,2,-0.5
"115",3,1,20,"rt_sec16",7.633,16,3.5,3,2.03248095281633,0,0,0.5,0
"116",3,1,20,"rt_sec17",3.528,17,5,2,1.26073113814454,0,0,2,-1
"117",3,1,20,"rt_sec20",2.82,20,5,4,1.03673688495002,0,0,2,1
"118",3,1,20,"rt_sec21",1.755,21,0,2.5,0.562468856917829,0,0,-3,-0.5
"119",3,1,20,"rt_sec22",5.997,22,5,4,1.79125934418637,0,0,2,1
"120",3,1,20,"rt_sec24",3.165,24,0,4,1.15215305559614,0,0,-3,1
"121",3,1,20,"rt_sec25",2.117,25,2,2,0.749999992152728,0,0,-1,-1
"122",3,1,20,"rt_sec26",11.632,26,0,1.5,2.45375992079116,0,0,-3,-1.5
"123",3,1,20,"rt_sec27",8.103,27,2,2,2.09223436347859,0,0,-1,-1
"124",3,1,20,"rt_sec28",2.462,28,0.5,1,0.900974027762262,0,0,-2.5,-2
"125",3,1,20,"rt_sec29",6.542,29,4,3,1.87824292911619,0,0,1,0
"126",3,1,20,"rt_sec31",1.999,31,2,4,0.692647055518263,0,0,-1,1
"127",3,1,20,"rt_sec32",18.689,32,2,1.5,2.92793511548817,0,0,-1,-1.5
"128",3,1,20,"rt_sec33",3.528,33,3,2,1.26073113814454,0,0,0,-1
"129",3,1,20,"rt_sec35",2.789,35,1,4,1.02568310864535,0,0,-2,1
"130",3,1,20,"rt_sec36",4.115,36,4,3,1.41463883412903,0,0,1,0
"131",3,1,20,"rt_sec38",9.112,38,1,3,2.20959222614488,0,0,-2,0
"132",3,1,20,"rt_sec39",4.873,39,4,3.5,1.58370976386137,0,0,1,0.5
"133",3,1,20,"rt_sec41",19.393,41,0,2,2.9649121762141,0,0,-3,-1
"134",3,1,20,"rt_sec42",4.579,42,4.5,5,1.52148063367496,0,0,1.5,2
"135",3,1,20,"rt_sec43",1.765,43,5,4.5,0.56815069038526,0,0,2,1.5
"136",3,1,20,"rt_sec44",20.1,44,2,2,3.00071981506503,0,0,-1,-1
"137",3,1,20,"rt_sec46",3.517,46,4,2,1.25760835349185,0,0,1,-1
"138",3,1,20,"rt_sec47",1.753,47,3,2,0.561328605939097,0,0,0,-1
"139",3,1,20,"rt_sec51",14.461,51,0,2.5,2.67145537063266,0,0,-3,-0.5
"140",3,1,20,"rt_sec52",1.755,52,0,2,0.562468856917829,0,0,-3,-1
"141",3,1,20,"rt_sec58",2.822,58,3.5,2,1.03744585343062,0,0,0.5,-1
"142",3,1,20,"rt_sec61",2.47,61,5,4,0.904218150639886,0,0,2,1
"143",3,1,20,"rt_sec63",4.929,63,4,4,1.59513612772324,0,0,1,1
"144",3,1,20,"rt_sec64",3.879,64,0,3.5,1.35557738845783,0,0,-3,0.5
"145",3,1,20,"rt_sec66",2.709,66,4,2,0.996579563102958,0,0,1,-1
"146",3,1,20,"rt_sec67",7.022,67,4,3.5,1.94904807774624,0,0,1,0.5
"147",3,1,20,"rt_sec68",2.768,68,3.5,4,1.01812503775542,0,0,0.5,1
"148",3,1,20,"rt_sec71",4.233,71,5,5,1.44291096153879,0,0,2,2
"149",3,1,20,"rt_sec73",1.763,73,2,3,0.567016903415733,0,0,-1,0
"150",3,1,20,"rt_sec74",4.225,74,0,3,1.44101926080914,0,0,-3,0
"151",3,1,20,"rt_sec78",8.114,78,4,2,2.09359096478426,0,0,1,-1
"152",3,1,20,"rt_sec79",7.6,79,3.5,3,2.02814824729229,0,0,0.5,0
"153",3,1,20,"rt_sec80",25.046,80,0,1,3.22071413414184,0,0,-3,-2
"154",4,1,20,"rt_sec1",1.237,1,3.5,4,0.212689093410351,0,0,0.5,1
